Plot,Cl_Concentration,Cl_Uncertainty,Ca_Concentration,Ca_Uncertainty,Ti_Concentration,Ti_Uncertainty,Cr_Concentration,Cr_Uncertainty,Mn_Concentration,Mn_Uncertainty,Fe_Concentration,Fe_Uncertainty,Co_Concentration,Co_Uncertainty,Ni_Concentration,Ni_Uncertainty,Cu_Concentration,Cu_Uncertainty,Zn_Concentration,Zn_Uncertainty,As_Concentration,As_Uncertainty,Se_Concentration,Se_Uncertainty,Rb_Concentration,Rb_Uncertainty,Cd_Concentration,Cd_Uncertainty,Re_Concentration,Re_Uncertainty,Hg_Concentration,Hg_Uncertainty,Tl_Concentration,Tl_Uncertainty,Pb_Concentration,Pb_Uncertainty
NIST 2711,ND<188,±188,20718,±650,2373,±140,18.5,±12.3,516,±38.7,24763,±222,ND<13.4,±13.4,18.8,±6.2,131,±10.3,376,±13.5,114,±4.5,1,±1.0,105,±3.3,34.4,±10.0,11.4,±5.6,4.5,±2.3,ND<1.6,±1.6,1238,±14.2
NIST 2711,ND<206,±206,20526,±646,2299,±138,21.7,±12.7,499,±37.9,24674,±221,ND<13.2,±13.2,19.4,±6.3,123,±9.9,380,±13.5,122,±4.6,ND<1.0,±1.0,105,±3.3,43.8,±10.9,ND<4.2,±4.2,7.8,±2.3,ND<1.6,±1.6,1235,±14.2
p1-2 S,ND<186,±186,8469,±443,1808,±124,15.7,±10.3,277,±26.8,16727,±179,ND<10.8,±10.8,9.6,±5.0,2070,±37.2,37.4,±4.6,7.5,±0.6,ND<0.6,±0.6,109,±3.1,ND<1.7,±1.7,ND<2.6,±2.6,ND<0.8,±0.8,ND<0.8,±0.8,9.1,±1.8
p1-2 T,ND<192,±192,7369,±406,1693,±116,8.7,±8.7,116,±15.8,13494,±162,ND<9.6,±9.6,8.8,±4.9,566,±19.9,30.8,±4.1,3.9,±0.5,ND<0.4,±0.4,114,±3.2,ND<1.7,±1.7,ND<2.4,±2.4,ND<0.7,±0.7,ND<1.2,±1.2,9.2,±1.8
p1-1 T+S,ND<181,±181,4005,±313,1651,±116,ND<7.4,±7.4,30.3,±5.9,14803,±173,ND<10.3,±10.3,10.8,±5.2,803,±24.2,24.7,±3.9,10.4,±0.7,1.1,±0.9,123,±3.4,ND<1.5,±1.5,ND<2.8,±2.8,ND<0.8,±0.8,ND<0.8,±0.8,11.4,±1.9
p1-3 T+S,ND<175,±175,11981,±514,2655,±147,22.2,±12.3,143,±18.3,23231,±211,ND<12.5,±12.5,12.5,±5.4,709,±22.8,30.1,±4.2,8.2,±0.7,ND<0.6,±0.6,116,±3.3,ND<2.0,±2.0,ND<3.0,±3.0,ND<0.9,±0.9,ND<0.9,±0.9,13.8,±2.0
p2-1 S,ND<185,±185,2382,±262,1588,±116,7.9,±7.9,19.4,±4.0,14951,±173,ND<10.5,±10.5,9.6,±5.1,1280,±30.0,36.1,±4.6,9.7,±0.7,1.7,±1.0,166,±3.9,ND<1.7,±1.7,ND<2.8,±2.8,ND<0.9,±0.9,ND<0.9,±0.9,9.2,±1.8
P2-1 T,ND<165,±165,4779,±316,1619,±110,12.5,±9.6,158,±19.4,20415,±198,ND<11.6,±11.6,18.3,±6.0,2491,±41.9,85,±6.7,4.8,±0.8,ND<0.4,±0.4,145,±3.7,ND<1.6,±1.6,ND<2.8,±2.8,ND<0.9,±0.9,ND<0.9,±0.9,25.9,±2.5
p2-2 T,ND<166,±166,4469,±318,1862,±120,13.4,±10.6,142,±18.1,19222,±192,ND<11.5,±11.5,17.6,±5.8,2074,±37.8,68,±6.0,7.3,±0.8,ND<0.4,±0.4,151,±3.7,ND<1.6,±1.6,ND<2.8,±2.8,ND<0.9,±0.9,ND<0.9,±0.9,24.7,±2.4
p2-2 S,ND<213,±213,2356,±274,1604,±122,15.2,±11.3,ND<14.7,±14.7,13628,±162,ND<9.6,±9.6,9.7,±4.9,681,±21.7,24.4,±3.8,7.7,±0.6,0.9,±0.9,155,±3.7,ND<1.7,±1.7,ND<2.7,±2.7,ND<0.8,±0.8,ND<0.8,±0.8,7,±1.7
p2-3 S,ND<220,±220,2203,±252,1764,±122,7.9,±7.9,ND<14.6,±14.6,12723,±157,ND<9.1,±9.1,8.5,±4.8,181,±11.3,15.2,±3.1,3.7,±0.5,ND<0.6,±0.6,125,±3.3,ND<1.6,±1.6,ND<2.6,±2.6,ND<0.8,±0.8,ND<1.2,±1.2,7.5,±1.7
p2-3 T,ND<179,±179,4371,±320,2175,±131,7.9,±7.9,117,±16.0,17398,±183,ND<10.9,±10.9,13,±5.3,566,±20.1,41.4,±4.7,3.3,±0.6,ND<0.4,±0.4,117,±3.3,ND<1.5,±1.5,ND<2.7,±2.7,ND<0.8,±0.8,ND<0.8,±0.8,13.5,±2.0
p5-1 S,ND<200,±200,45354,±900,2848,±147,32.8,±13.0,471,±36.5,32831,±252,ND<30.8,±30.8,24.8,±6.8,243,±14.0,61.1,±5.8,3.1,±0.6,ND<0.4,±0.4,84.5,±3.0,ND<1.8,±1.8,ND<3.1,±3.1,ND<0.9,±0.9,ND<0.9,±0.9,12.2,±2.1
p5-1 T,ND<181,±181,27168,±728,2872,±149,30,±12.9,475,±36.7,31528,±248,ND<14.6,±14.6,27.8,±7.0,739,±24.1,86.1,±6.8,4.6,±0.7,ND<0.4,±0.4,88.4,±3.0,ND<1.8,±1.8,ND<2.9,±2.9,ND<0.8,±0.8,ND<0.8,±0.8,20.7,±2.4
p5-2 S,ND<167,±167,14655,±537,1652,±113,17.6,±10.0,492,±37.6,20262,±201,ND<11.8,±11.8,21.6,±6.2,693,±22.8,44,±4.9,4.5,±0.6,ND<0.4,±0.4,111,±3.3,ND<1.7,±1.7,ND<2.8,±2.8,ND<0.8,±0.8,ND<0.9,±0.9,10,±1.9
p5-2 T,ND<195,±195,15099,±554,2610,±142,23.5,±11.5,236,±24.6,21728,±204,ND<12.1,±12.1,13.5,±5.5,511,±19.3,38.3,±4.6,2.1,±0.6,ND<0.4,±0.4,119,±3.3,ND<1.7,±1.7,ND<2.8,±2.8,ND<0.8,±0.8,ND<0.8,±0.8,12.3,±1.9
p5-3 S,ND<182,±182,2330,±258,1619,±117,ND<7.2,±7.2,ND<14.2,±14.2,12096,±155,ND<9.0,±9.0,ND<3.4,±3.4,202,±12.1,14.4,±3.1,2.9,±0.5,0.7,±0.7,135,±3.5,ND<1.5,±1.5,ND<3.0,±3.0,ND<0.9,±0.9,ND<0.7,±0.7,5.3,±1.6
p5-3 T,ND<175,±175,6058,±374,1804,±122,13.6,±10.9,123,±16.7,15745,±178,ND<10.4,±10.4,9,±5.0,388,±17.0,21,±3.6,3.4,±0.5,0.7,±0.7,134,±3.5,ND<1.8,±1.8,ND<2.8,±2.8,ND<0.9,±0.9,ND<0.8,±0.8,7.2,±1.7
p6-1 S,ND<181,±181,1568,±223,1437,±111,ND<7.2,±7.2,ND<14.8,±14.8,13298,±164,ND<9.7,±9.7,8.8,±5.0,714,±22.8,22.7,±3.8,8.1,±0.6,1.1,±0.9,153,±3.7,ND<1.6,±1.6,ND<2.8,±2.8,ND<0.8,±0.8,ND<0.8,±0.8,6.9,±1.7
p6-1 T,ND<191,±191,2774,±277,1649,±118,ND<7.6,±7.6,38.6,±7.2,14399,±169,ND<9.9,±9.9,10.1,±5.1,1745,±34.7,41.3,±4.8,9.9,±0.8,ND<0.6,±0.6,159,±3.8,ND<1.6,±1.6,ND<2.9,±2.9,ND<0.9,±0.9,ND<0.8,±0.8,19.7,±2.2
p6-2 S,ND<165,±165,4007,±304,1677,±114,13.3,±10.3,130,±17.3,19403,±198,ND<11.7,±11.7,18.9,±6.1,2560,±43.1,69.3,±6.2,9.9,±0.8,ND<0.7,±0.7,163,±4.0,ND<1.6,±1.6,ND<3.1,±3.1,ND<0.9,±0.9,ND<1.0,±1.0,22,±2.4
p6-2 T,ND<184,±184,2991,±285,1708,±120,10.6,±9.5,42.1,±7.7,12761,±161,ND<9.9,±9.9,10.8,±5.2,2065,±37.9,34.8,±4.6,8.5,±0.6,0.7,±0.7,154,±3.8,ND<1.7,±1.7,ND<3.1,±3.1,ND<0.9,±0.9,ND<1.3,±1.3,7.9,±1.8
p6-3 S,ND<176,±176,2102,±252,1589,±118,10.8,±10.0,ND<13.4,±13.4,13084,±162,ND<9.6,±9.6,ND<3.6,±3.6,419,±17.4,20.9,±3.6,5,±0.6,1.5,±0.9,153,±3.7,ND<1.7,±1.7,ND<2.7,±2.7,ND<0.8,±0.8,ND<0.9,±0.9,7.3,±1.7
