Scientific_Name	Group	Plot	Sample_Name	Tube_No	Type_of_Sample	Total_Weight	Cup_No	pXRF_measurement_ID	ICP	Material	Cl_concentration	Cl_uncertainty	Ca_concentration	Ca_uncertainty	Ti_concentration	Ti_uncertainty	Cr_concentration	Cr_uncertainty	Mn_concentration	Mn_uncertainty	Fe_concentration	Fe_uncertainty	Co_concentration	Co_uncertainty	Ni_concentration	Ni_uncertainty	Cu_concentration	Cu_uncertainty	Zn_concentration	Zn_uncertainty	As_concentration	As_uncertainty	Se_concentration	Se_uncertainty	Cd_concentration	Cd_uncertainty	Re_concentration	Re_uncertainty	Hg_concentration	Hg_uncertainty	Tl_concentration	Tl_uncertainty	Pb_concentration	Pb_uncertainty	Substrate_RT
Dasyochloa pulchella	G2	P2	P2_E17_2	1;2	leaf-stem	0.471	1	2108	n	Plant	764	235	2583	142	64.8	14.9	4.6	3.8	ND<3.5	3.5	417	18.6	ND<1.7	1.7	ND<1.0	1	ND<3.1	3.1	ND<1.4	1.4	3.7	1.2	ND<0.6	0.6	ND<4.2	4.2	ND<1.6	1.6	ND<0.5	0.5	ND<0.4	0.4	ND<1.6	1.6	0.028062597
Dasyochloa pulchella	G2	P2	P2_E17_1	5;6	leaf-stem	0.434	3	2110	n	Plant	745	225	2655	139	86.4	16.2	ND<2.1	2.1	21.8	5.3	667	22	ND<1.8	1.8	ND<1.1	1.1	28.8	3.2	10.6	2	1.2	0.7	0.8	0.6	ND<4.0	4	1.8	1.8	ND<0.4	0.4	ND<0.6	0.6	ND<1.5	1.5	0.030571375
Dasyochloa pulchella	G2	P5	P5_60_2_3	9;10	leaf-stem	0.49	5	2112	n	Plant	675	227	3254	160	81.4	16.7	4.4	4	ND<3.7	3.7	521	18.7	ND<1.6	1.6	ND<0.9	0.9	ND<2.6	2.6	ND<1.0	1	4.3	0.3	ND<0.3	0.3	ND<2.6	2.6	ND<1.2	1.2	ND<0.3	0.3	ND<0.4	0.4	ND<0.8	0.8	0.054272234
Dasyochloa pulchella	G2	P2	P2_E17	15;16	leaf-stem	0.443	6	2116	n	Plant	1502	318	2579	144	54.5	14.1	3.8	3.8	ND<3.9	3.9	470	18.3	ND<1.6	1.6	ND<0.9	0.9	ND<1.4	1.4	19.3	3.3	3.7	0.3	ND<0.4	0.4	ND<5.6	5.6	ND<1.4	1.4	ND<0.4	0.4	ND<0.4	0.4	ND<0.9	0.9	0.042015135
Dasyochloa pulchella	G2	P1	P1_37_2	13;14	leaf-stem	0.562	8	2115	n	Plant	771	244	6766	233	143	21.7	ND<2.7	2.7	ND<4.8	4.8	917	24.8	ND<2.0	2	ND<0.9	0.9	73.8	5	ND<0.9	0.9	4.1	0.3	2.3	0.6	ND<5.2	5.2	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.055219896
Dasyochloa pulchella	G2	P5	P5_60_2_1	11	leaf-stem	0.17	9	2113	n	Plant	1029	265	2637	142	28.2	11.2	3	3	ND<3.6	3.6	129	10.4	ND<1.2	1.2	ND<0.9	0.9	ND<1.7	1.7	ND<1.2	1.2	2.9	1	ND<0.3	0.3	ND<7.2	7.2	ND<1.4	1.4	ND<0.4	0.4	ND<0.4	0.4	ND<1.5	1.5	0.03200369
Dasyochloa pulchella	G2	P5	P5_60_2_2	17;18	leaf-stem	0.497	10	2117	n	Plant	992	265	3114	155	42.4	12.9	4.1	3.7	ND<3.6	3.6	374	16.6	ND<1.6	1.6	ND<1.0	1	ND<2.0	2	ND<1.3	1.3	6.1	0.4	ND<0.3	0.3	ND<5.2	5.2	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.9	0.9	0.042112675
Dasyochloa pulchella	G2	P5	P5_60_1	19;20	leaf-stem	0.541	11	2118	n	Plant	1098	279	3813	173	114	18.9	7.5	4.4	ND<3.3	3.3	1179	30.4	ND<2.5	2.5	ND<1.1	1.1	ND<1.9	1.9	ND<1.3	1.3	3.3	1.1	1.5	0.8	ND<4.1	4.1	ND<1.6	1.6	ND<0.4	0.4	ND<0.5	0.5	ND<1.6	1.6	0.030034462
Bothriochloa barbinodis	G1	P1	P1_8	60;61	leaf-stem	0.544	13	2122	n	Plant	2504	405	2778	153	ND<5.6	5.6	7.8	4.3	ND<2.0	2	16.6	4.1	ND<0.9	0.9	ND<0.8	0.8	ND<1.3	1.3	ND<0.8	0.8	3.5	0.3	1.2	0.5	ND<2.8	2.8	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.060165487
Bothriochloa barbinodis	G1	P1	P1_32	64;65	leaf-stem	0.544	14	2123	n	Plant	4479	535	4502	197	ND<7.0	7	9.6	4.7	ND<4.5	4.5	48.6	6.5	ND<1.0	1	ND<0.9	0.9	ND<1.5	1.5	6.9	2.2	4.3	0.3	0.4	0.4	ND<2.4	2.4	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.066948704
