"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Allionia incarnata","P1",0.55,"2126",580,48102,143,7.7,36.2,1037,0,37.5,0,5,1,0,0,0.057585236
"Allionia incarnata","P1",0.166,"2127",306,22621,132,4.8,47.8,1709,0,8.1,11.8,2.5,0,0,0,0.014363615
"Allionia incarnata","P1",0.213,"2128",527,47147,124,10.9,25.2,866,0,35.9,0,6.5,0.8,0,0,0.034562402
"Allionia incarnata","P2",0.332,"2129",2576,37856,146,10.9,30.7,1320,0,47.1,0,6.2,2.6,0,4.6,0.054200765
"Allionia incarnata","P2",0.183,"2130",4756,29095,90.3,10.6,0,668,0,26.1,0,4.4,2.7,20.1,6.4,0.024824264
"Allionia incarnata","P2",0.164,"2131",753,6209,30.6,0,0,371,0,7.9,0,3.3,3.6,0,0,0.011043405
"Allionia incarnata","P5",0.497,"2132",1655,43617,153,10,40.3,1133,0,44.3,0,4.5,1.8,0,3.4,0.048454367
"Allionia incarnata","P5",0.078,"2133",448,31671,180,22.3,0,1333,0,46.4,0,12.8,0,0,0,0.03140413
"Allionia incarnata","P5",0.076,"2134",0,48021,38.8,18.9,0,131,0,0,0,8.5,0,0,0,0.026603313
"Allionia incarnata","P5",0.273,"2135",996,39959,125,15,0,773,0,81,0,8.6,0.9,14.6,0,0.035479032
"Allionia incarnata","P5",0.103,"2136",561,17804,53,8.6,0,346,0,26.7,0,5.7,0,0,0,0.009051772
"Allionia incarnata","P1",0.192,"2184",905,41605,179,14.5,25.8,1230,0,30.3,0,6.1,0,0,0,0.026652504
"Amaranthus palmeri","P1",0.333,"2400",1377,14536,27,7.8,0,25.9,0,0,0,4.4,0,11.9,0,0.050598804
"Amaranthus palmeri","P1",0.634,"2401",599,20914,33.5,9.3,0,18.1,0,0,0,5.3,0.6,0,0,0.064391889
"Amaranthus palmeri","P1",0.157,"2402",3911,41176,58.3,19.9,0,147,0,0,0,10.6,0,0,0,0.042209126
"Amaranthus palmeri","P2",0.422,"2403",3117,10500,88.3,6.7,0,186,0,66.4,9.2,3.3,0,0,0,0.055873249
"Amaranthus palmeri","P2",0.807,"2404",3014,21771,80.2,8.7,0,205,0,64.6,21.8,5.1,0,0,0,0.07377138
"Amaranthus palmeri","P2",0.441,"2405",5129,13742,51.1,7.4,0,131,0,58.1,8.6,4,0.7,0,0,0.066112652
"Amaranthus palmeri","P5",0.688,"2407",6148,19691,38.8,7.2,0,47.5,0,0,4,4.2,0.5,8.7,0,0.065107942
"Amaranthus palmeri","P6",0.103,"2408",3789,7432,69.5,27.1,0,68.9,0,18.8,0,10.4,0,0,0,0.032271903
"Amaranthus palmeri","P6",0.202,"2409",2485,8537,136,10.1,0,142,0,145,0,6.4,0,0,0,0.046162501
"Amaranthus palmeri","P6",0.445,"2410",1251,5040,86.1,6.3,10.5,192,0,132,4.9,2.1,0.5,0,0,0.064600065
"Ambrosia confertiflora","P2",0.862,"2185",1606,42089,59.3,7,20.3,273,0,17.5,82.1,3,0.6,0,0,0.075843856
"Aristida adscencionis","P2",0.519,"2381",497,2399,16.5,13.2,0,57.2,0,0,51.5,4.5,0.7,0,0,0.050689742
"Aristida adscencionis","P2",0.589,"2382",307,2064,20.7,8.7,0,89.5,0,0,0,2.6,0,0,0,0.053492904
"Aristida adscencionis","P2",0.471,"2383",481,2430,36.3,11.2,0,116,0,0,0,5.1,0,0,0,0.051234253
"Baccharis sarothroides","P1",0.837,"2310",4011,7124,0,5.1,22.6,40.6,0,11,15.8,2.2,0.5,0,1.9,0.071357042
"Baccharis sarothroides","P1",1.179,"2311",2300,12348,0,3.2,0,24.5,0,10.8,2.8,1.5,0.7,0,0,0.080434769
"Baccharis sarothroides","P1",1.338,"2312",2286,7278,0,0,27.7,29,0,16.1,18.3,0.9,0.7,0,2.3,0.08037433
"Baccharis sarothroides","P2",1.237,"2313",3264,8468,0,2.9,28,42.6,0,12.6,11.4,1,2.5,0,5.6,0.072582997
"Baccharis sarothroides","P2",1.603,"2314",1733,9644,0,4.3,26.5,30.9,0,13.7,20.5,1,1.5,0,31,0.084160678
